,sub,node,episode,label,r
291,sub-01,30,2,control,0.8190974723641978
292,sub-01,30,3,control,-0.07637538263609112
293,sub-01,30,4,reappraisal,0.023639576244092526
294,sub-01,30,5,control,-0.7476584868362105
295,sub-01,30,6,reappraisal,-0.5805354470343449
296,sub-01,30,7,reappraisal,0.7194763281990415
297,sub-01,30,8,control,-0.5961908275318043
298,sub-01,30,9,control,1.0768549972976031
299,sub-01,30,10,reappraisal,-0.07386903921122333
300,sub-01,31,1,reappraisal,-0.4862531424089309
301,sub-01,31,2,control,0.4524437674333758
302,sub-01,31,3,control,0.013631703377272469
303,sub-01,31,4,reappraisal,0.0427777108825032
304,sub-01,31,5,control,-0.23480251308206854
305,sub-01,31,6,reappraisal,0.4228120362337262
306,sub-01,31,7,reappraisal,0.48847302810280446
307,sub-01,31,8,control,-0.24051080132452382
308,sub-01,31,9,control,0.12329446892935918
309,sub-01,31,10,reappraisal,-0.14252346882438247
310,sub-01,32,1,reappraisal,-0.2831475810363854
311,sub-01,32,2,control,0.24182418833333913
312,sub-01,32,3,control,0.18545725013600517
313,sub-01,32,4,reappraisal,0.05227380408914956
314,sub-01,32,5,control,0.0477730513658965
315,sub-01,32,6,reappraisal,-0.235136301134697
316,sub-01,32,7,reappraisal,0.4729467301466589
317,sub-01,32,8,control,-0.11516638152331413
318,sub-01,32,9,control,0.38040585490401496
319,sub-01,32,10,reappraisal,0.14278031117276044
320,sub-01,33,1,reappraisal,0.6435663828927631
321,sub-01,33,2,control,0.8924771146499536
322,sub-01,33,3,control,0.4623783792683177
323,sub-01,33,4,reappraisal,-0.23499847407439722
324,sub-01,33,5,control,-0.06555680141402839
325,sub-01,33,6,reappraisal,0.1642595705980868
326,sub-01,33,7,reappraisal,-0.014165717930890167
327,sub-01,33,8,control,-0.15799461809712645
328,sub-01,33,9,control,-0.2697216104608867
329,sub-01,33,10,reappraisal,-0.38450626977036917
330,sub-01,34,1,reappraisal,0.0773608655265608
331,sub-01,34,2,control,0.47682904611923027
332,sub-01,34,3,control,0.17018939633241403
333,sub-01,34,4,reappraisal,-0.14506201077831293
334,sub-01,34,5,control,0.005489467913576305
335,sub-01,34,6,reappraisal,0.1983097927342694
336,sub-01,34,7,reappraisal,0.12241343379231164
337,sub-01,34,8,control,-0.1697544034188001
338,sub-01,34,9,control,0.12175788965979087
339,sub-01,34,10,reappraisal,-0.15585232838998175
340,sub-01,35,1,reappraisal,0.4857030408727665
341,sub-01,35,2,control,0.6448229863102195
342,sub-01,35,3,control,0.3250894162361088
343,sub-01,35,4,reappraisal,-0.04468637481877941
344,sub-01,35,5,control,-0.047982911157422994
345,sub-01,35,6,reappraisal,0.33991639254606365
346,sub-01,35,7,reappraisal,0.7835453466952593
347,sub-01,35,8,control,0.3937784688274187
348,sub-01,35,9,control,-0.1195518381029718
349,sub-01,35,10,reappraisal,-0.36754307258025326
350,sub-01,36,1,reappraisal,1.112547959582298
351,sub-01,36,2,control,0.4928460670299451
352,sub-01,36,3,control,-0.25119757918938973
353,sub-01,36,4,reappraisal,-0.8995325870105724
354,sub-01,36,5,control,-1.3795688769464511
355,sub-01,36,6,reappraisal,0.6705921353537349
356,sub-01,36,7,reappraisal,0.368472388049149
357,sub-01,36,8,control,-0.2776098637983907
358,sub-01,36,9,control,1.1888480348364494
359,sub-01,36,10,reappraisal,-1.2791776120443696
360,sub-01,37,1,reappraisal,0.01771358935830673
361,sub-01,37,2,control,0.8569998503601042
362,sub-01,37,3,control,0.45417153143938827
363,sub-01,37,4,reappraisal,-0.6306046557162598
364,sub-01,37,5,control,-0.3251311359902112
365,sub-01,37,6,reappraisal,-0.2345359995442826
366,sub-01,37,7,reappraisal,0.35592710958520485
367,sub-01,37,8,control,-0.7534334639188222
368,sub-01,37,9,control,0.8362071885187555
