,node,L2_more_than_0_t,L2_more_than_0_p,L2_more_than_0_q,L1_slope_pos_estimate,L1_slope_pos_p,L1_slope_pos_q,L2_more_than_L1_t,L2_more_than_L1_p,L2_more_than_L1_q,L2_slope_pos_estimate,L2_slope_pos_p,L2_slope_pos_q,L1_slope_more_L2_estimate,L1_slope_more_L2_p,L1_slope_more_L2_q,L1_steve_slope_estimate,L1_steve_slope_p,L1_steve_slope_q,L2_steve_slope_estimate,L2_steve_slope_p,L2_steve_slope_q
78,79,329,0.527832580264658,0.8510693470770997,0.0054484773782277,1.69875399363807e-10,1.4439408945923596e-09,367,0.301407340579317,0.5800669573413271,0.0003675654698747,0.590084713304108,0.8477273346059018,0.0025404559541765,3.21875587243177e-06,4.6831700755712497e-05,-0.0023945922131307,0.0346580747325331,0.09302956901890463,0.0002640441900158,0.778524496678541,0.9119432629508449
79,80,259,0.877459293566062,0.9165782744031661,0.0063041581559101,2.5322562628538e-22,2.582901388110876e-20,374,0.26453957927879,0.5800669573413271,0.0013043827875041,0.0144066998319226,0.10496309877543608,0.002499887684203,2.0503806138442e-09,2.091388226121084e-07,-0.0035849803517613,5.45614464342784e-05,0.001330227714480152,-0.0007387549965985,0.320815030968159,0.8671420800140424
80,81,418,0.0933246813947335,0.34181060787614137,0.0038914606658195,0.0001952679810135,0.00025535043670996154,454,0.0288531182304723,0.538235375577642,-0.0008089104267878,0.403483979003901,0.6975485738711508,0.0023501855463036,0.0009683766297501,0.002993164128318491,-0.0025168719022076,0.0797547794114949,0.15943281827583114,0.0007231966227862,0.583651727950657,0.8671420800140424
81,82,355,0.369286955654388,0.7533453895349516,0.0042597593773246,8.1715716451167e-05,0.00011263517672998695,383,0.220678514771862,0.5800669573413271,-0.0006380859230309,0.509416802667377,0.7684414942214085,0.0024489226501778,0.0007210853907309,0.0023726035436952195,-0.0012014573430499,0.435555965624343,0.5122869003712348,0.0024902882194383,0.0652347362342351,0.5544952579909984
82,83,408,0.122540706433938,0.36653760144586767,0.0055908401614671,3.31257307940485e-12,4.826892201418495e-11,418,0.0933246813947335,0.5800669573413271,7.98188185927778e-05,0.910565511936698,0.9477314511994204,0.0027555106714371,2.56897151037631e-07,6.550877351459591e-06,-0.0027249753507168,0.0112205858713443,0.0440192214952738,0.0004016153764154,0.681364275329304,0.9025864426440131
84,85,331,0.515471015998628,0.8510693470770997,0.0047051053811198,1.04060107788294e-06,2.468402556838602e-06,394,0.173061114473967,0.5800669573413271,0.0002383761404886,0.787639135087682,0.9091029194588401,0.0022333646203155,0.0006230824621852,0.0021915314187203588,-0.0015893173562976,0.196734168412853,0.28833833472887244,0.0012899731657702,0.27521634011261,0.83036660395404
86,87,295,0.725158829794964,0.8641796008771718,0.0052374653720174,5.57660863015333e-08,1.9696426028109792e-07,352,0.387002671544906,0.616469201013387,0.0002785683037437,0.750304358676577,0.889895867267568,0.0024794485341368,0.0001361085904051,0.0007306882221747473,-0.0036046904498129,0.0048851202072912,0.029310721243747197,0.0004476670918438,0.705017155506966,0.9102753147051965
87,88,299,0.703995268806466,0.8641796008771718,0.0042449769053842,3.99989043385104e-05,5.746321468349382e-05,373,0.26966634276323,0.5800669573413271,0.0009070118930634,0.36759388941346,0.657799591581981,0.0016689825061604,0.0209531201721081,0.032880280885461945,-0.0020095138531114,0.1502754076178,0.24722728350025164,0.0015258429630408,0.27678886798468,0.83036660395404
88,89,206,0.977889392714133,0.981121488046483,0.0061752069927779,1.30974873761801e-09,7.031282696686159e-09,324,0.558597168637789,0.6757170195967109,0.0030396473933811,0.0013912175175041,0.017738023348177277,0.0015677797996983,0.0236594023575572,0.0354891035363358,-0.0016414304597215,0.225146437081548,0.2982459296404922,-3.89381941928048e-05,0.976086603455601,0.9928729111529907
90,91,287,0.765170720274909,0.8671934829782302,0.0057195265759414,3.82404159248013e-10,2.437826515206083e-09,406,0.129062181236804,0.5800669573413271,0.0009649004633087,0.248746045491536,0.5515673182638406,0.0023773130563163,0.0001218405644818,0.0007285523926597666,-0.0030455121794626,0.0145770027508761,0.051270837261702146,0.0010349648432943,0.368687144129032,0.8671420800140424
